



name                                 #n       tsub       ttot       tavg
../lib/python2.6/threading.py.run:48 2        0.000042   10.269473  5.134736   
..HOU-PROJECT/engine.py.runEngine:21 1        0.047124   10.269431  10.269431  
..ANHOU-PROJECT/engine.py._synched:3 512      0.008178   5.314933   0.010381   
..OU-PROJECT/engine.py.engineLoop:14 510      0.213759   5.303799   0.010400   
..t/NANHOU-PROJECT/engine.py.draw:20 510      0.031825   4.419408   0.008666   
..NHOU-PROJECT/engine.py.drawList:27 2550     0.640601   3.695203   0.001449   
../EntityTypes.py.getCurrentSprite:5 19423    0.097733   0.290132   0.000015   
..OU-PROJECT/collision.py.disjoint:3 510      0.109676   0.248103   0.000486   
..ECT/animation.py.getCurrentImage:7 19423    0.125597   0.192399   0.000010   
..OU-PROJECT/EntityTypes.py.update:4 19423    0.116059   0.162170   0.000008   
..OJECT/EntityTypes.py.isCollision:6 38370    0.138047   0.138047   0.000004   
..NHOU-PROJECT/EntityTypes.py.move:3 19419    0.134624   0.134624   0.000007   
..kages/pygame/pkgdata.py.<module>:1 1        0.001111   0.114405   0.114405   
..ckages/pkg_resources.py.<module>:1 1        0.001328   0.113294   0.113294   
..ages/pkg_resources.py.subscribe:66 1        0.000193   0.044842   0.044842   
..ages/pkg_resources.py.<lambda>:269 54       0.000179   0.044512   0.000824   
..ages/pkg_resources.py.activate:218 54       0.000596   0.044333   0.000821   
..animation.py.getDirectionPrefix:12 19523    0.043900   0.043900   0.000002   
..ages/pkg_resources.py.add_entry:40 26       0.000757   0.041007   0.001577   
..HOU-PROJECT/engine.py.isExpired:29 19498    0.038117   0.038117   0.000002   
..NANHOU-PROJECT/animation.py.next:4 9660     0.036813   0.036813   0.000004   
../pkg_resources.py.find_on_path:168 134      0.008024   0.034147   0.000255   
..HOU-PROJECT/animation.py.current:4 9763     0.029989   0.029989   0.000003   
..-PROJECT/events.py.handleEvents:12 1292     0.008089   0.029112   0.000023   
..python2.6/posixpath.py.realpath:35 128      0.004195   0.029102   0.000227   
..kages/pkg_resources.py.__init__:39 1        0.000037   0.023514   0.023514   
..ges/pkg_resources.py.insert_on:228 54       0.001029   0.022617   0.000419   
..sr/lib/python2.6/re.py._compile:22 226      0.001099   0.019165   0.000085   
..OU-PROJECT/animation.py.__init__:5 100      0.002535   0.018538   0.000185   
..es/pkg_resources.py._handle_ns:174 61       0.000571   0.018352   0.000301   
